15,2,11,117,3,4,0,9,1,9,0,4,22,7,16,1,2,6,6,7,6,8,4,0,6,0,1,3,21,5,5,8,5,3,0,25
1,6,9,101,2,9,0,22,1,16,0,5,10,3,13,5,3,3,11,5,2,13,6,5,3,1,2,0,13,13,4,6,3,3,1,17
4,2,26,129,3,12,0,22,1,9,0,1,7,2,16,4,0,2,2,10,1,4,1,2,0,1,4,1,18,1,2,2,3,2,0,29
6,3,18,137,2,8,0,16,0,13,0,3,11,4,14,4,0,1,15,5,3,9,4,0,3,0,3,1,15,5,1,2,4,6,1,25
2,2,7,109,11,6,0,10,1,15,1,2,8,2,20,4,1,8,6,4,7,13,7,3,0,0,0,0,17,3,5,4,3,5,4,27
1,1,12,122,3,12,0,11,1,24,0,5,21,3,17,3,3,1,4,1,3,5,2,1,2,0,1,0,22,6,1,0,0,5,0,26
4,2,12,110,4,5,1,10,0,19,1,4,11,3,22,5,2,1,5,2,6,7,3,3,2,2,4,0,14,4,5,3,2,5,1,15
2,1,22,113,3,3,0,30,0,15,0,4,12,2,11,5,2,1,4,5,1,6,6,2,2,1,1,1,7,13,2,4,2,7,0,23
3,0,14,107,2,12,0,7,2,15,0,6,15,1,22,0,3,4,8,3,5,8,8,4,4,1,4,1,29,4,9,5,3,3,1,22
3,4,12,140,7,10,0,15,2,25,2,5,12,2,9,4,0,2,3,7,1,7,5,3,1,3,1,1,14,6,6,2,3,3,1,15
2,2,7,110,8,8,0,16,1,18,0,7,20,5,21,10,1,4,7,7,3,6,14,3,3,3,0,3,16,6,2,7,3,14,1,18
8,5,12,94,6,8,0,9,0,10,0,4,16,1,29,1,4,2,10,4,3,7,9,2,6,0,2,1,23,6,5,8,3,3,2,20
9,3,19,110,5,6,0,14,0,11,0,0,24,1,22,4,3,3,6,7,4,6,5,3,2,0,3,0,22,6,2,3,5,2,2,22
5,5,15,92,6,5,0,18,1,17,0,8,16,9,22,2,3,3,4,10,5,13,6,2,5,2,4,1,12,5,8,3,7,6,1,19
3,3,14,106,7,8,0,11,1,9,1,4,12,4,18,6,2,1,6,8,5,11,3,4,0,0,3,2,18,2,4,5,5,6,1,21
3,9,10,79,5,6,1,24,0,21,0,10,11,3,20,10,0,7,5,3,3,6,7,3,1,4,0,3,12,10,3,2,4,5,1,25
6,0,12,111,3,10,0,14,1,13,0,3,13,5,19,3,4,3,2,4,3,10,5,7,5,0,3,2,17,8,1,8,5,4,0,20
2,3,4,98,6,3,0,13,1,22,0,4,14,6,20,10,0,7,7,8,9,12,20,7,5,2,1,2,11,6,7,7,10,4,3,19
5,1,15,114,6,6,0,16,0,10,0,3,17,8,18,6,2,3,10,9,4,13,11,6,2,2,2,1,11,4,8,7,5,1,0,27
3,2,12,121,6,4,0,8,0,9,0,1,15,2,25,5,2,2,8,12,2,10,7,3,4,1,2,4,9,2,8,7,1,4,2,26
3,3,4,108,11,4,0,12,1,13,0,6,16,2,16,5,2,6,8,9,10,9,12,5,3,2,4,0,8,4,13,12,12,10,2,19
6,3,5,109,8,2,0,12,2,16,0,4,30,1,18,5,1,1,11,13,9,22,7,1,2,1,3,2,16,7,8,6,5,2,1,17
4,2,7,94,5,3,0,12,2,10,0,0,12,2,13,4,0,11,6,10,11,8,37,4,2,0,3,0,3,5,4,6,13,8,1,23
4,4,8,97,5,5,1,13,0,18,2,3,12,4,17,4,2,9,4,10,10,7,24,6,2,5,4,4,14,3,7,4,11,4,3,27
15,4,18,103,8,7,0,13,0,13,1,3,15,2,20,2,5,3,11,11,5,11,7,1,5,1,2,0,21,4,9,2,3,6,0,17
6,4,6,103,7,2,0,26,0,16,0,6,6,6,17,6,3,4,7,8,4,6,12,3,6,2,3,3,9,4,2,0,4,1,3,23
12,1,15,90,7,6,0,9,2,17,0,5,20,3,23,3,3,2,5,6,5,5,8,1,5,2,4,0,16,9,8,2,7,2,0,30
6,1,6,96,9,4,0,17,2,13,0,6,9,4,12,6,0,5,7,9,2,10,8,0,1,3,1,1,21,6,2,4,4,5,4,15
2,1,9,119,3,11,0,18,0,18,1,4,23,1,22,2,4,3,4,5,7,7,4,1,1,2,2,0,22,7,2,3,3,5,2,25
3,8,14,122,3,5,1,46,1,18,0,2,18,4,15,3,1,3,5,7,4,7,4,0,3,3,2,1,20,14,1,2,2,2,0,17
5,3,10,99,3,4,0,15,1,12,0,5,19,4,15,2,3,1,3,12,2,16,7,2,2,1,2,3,16,1,15,7,3,8,0,24
5,3,11,100,6,3,0,16,3,16,0,6,19,8,18,6,1,4,5,9,8,10,13,3,3,1,5,2,14,6,5,7,8,1,2,21
4,2,4,115,5,2,0,5,0,17,3,3,10,7,18,5,2,9,6,6,12,9,22,3,3,1,2,1,9,8,11,13,23,12,0,21
6,4,10,94,12,7,0,14,1,18,0,4,11,6,26,7,0,2,6,5,7,8,4,2,1,0,1,2,11,4,4,6,3,10,1,19
5,4,10,107,8,7,1,22,2,22,2,7,13,4,16,2,0,6,6,4,4,16,6,1,3,3,0,3,11,15,5,5,4,3,0,24
5,1,24,118,2,10,0,8,1,10,1,1,21,2,10,0,4,2,5,5,0,5,5,0,3,1,3,1,14,4,1,1,0,8,0,42
